STATION,NAME,DATE,CDSD,EMSN,TAVG
USC00201502,"CHELSEA, MI US",1986-01,,2.3,
USC00201502,"CHELSEA, MI US",1986-02,,4,
USC00201502,"CHELSEA, MI US",1986-03,,3.5,
USC00201502,"CHELSEA, MI US",1986-04,,0.5,
USC00201502,"CHELSEA, MI US",1986-05,,0,
USC00201502,"CHELSEA, MI US",1986-06,,0,
USC00201502,"CHELSEA, MI US",1986-07,,0,
USC00201502,"CHELSEA, MI US",1986-08,,0,
USC00201502,"CHELSEA, MI US",1986-09,,0,
USC00201502,"CHELSEA, MI US",1986-10,,0,
USC00201502,"CHELSEA, MI US",1986-11,,3.8,
USC00201502,"CHELSEA, MI US",1986-12,,1.5,
USC00201502,"CHELSEA, MI US",1987-01,,7.5,
USC00201502,"CHELSEA, MI US",1987-02,,0.8,
USC00201502,"CHELSEA, MI US",1987-03,,4.5,
USC00201502,"CHELSEA, MI US",1987-04,,1.5,
USC00201502,"CHELSEA, MI US",1987-05,,0,
USC00201502,"CHELSEA, MI US",1987-06,,0,
USC00201502,"CHELSEA, MI US",1987-07,,0,
USC00201502,"CHELSEA, MI US",1987-08,,0,
USC00201502,"CHELSEA, MI US",1987-09,,0,
USC00201502,"CHELSEA, MI US",1987-10,,0.8,
USC00201502,"CHELSEA, MI US",1987-11,,0,
USC00201502,"CHELSEA, MI US",1987-12,,7,
USC00201502,"CHELSEA, MI US",1988-01,,2.2,
USC00201502,"CHELSEA, MI US",1988-02,,6,
USC00201502,"CHELSEA, MI US",1988-03,,1.5,
USC00201502,"CHELSEA, MI US",1988-04,,0.2,
USC00201502,"CHELSEA, MI US",1988-05,,0,
USC00201502,"CHELSEA, MI US",1988-06,,0,
USC00201502,"CHELSEA, MI US",1988-07,,0,
USC00201502,"CHELSEA, MI US",1988-08,,0,
USC00201502,"CHELSEA, MI US",1988-09,,0,
USC00201502,"CHELSEA, MI US",1988-11,,0,
USC00201502,"CHELSEA, MI US",1988-12,,3,
USC00201502,"CHELSEA, MI US",1989-01,,2.4,
USC00201502,"CHELSEA, MI US",1989-02,,3.5,
USC00201502,"CHELSEA, MI US",1989-03,,0.7,
USC00201502,"CHELSEA, MI US",1989-04,,0.2,
USC00201502,"CHELSEA, MI US",1989-05,,0,
USC00201502,"CHELSEA, MI US",1989-06,,0,
USC00201502,"CHELSEA, MI US",1989-07,,0,
USC00201502,"CHELSEA, MI US",1989-08,,0,
USC00201502,"CHELSEA, MI US",1989-09,,0,
USC00201502,"CHELSEA, MI US",1989-10,,2.5,
USC00201502,"CHELSEA, MI US",1989-11,,0,
USC00201502,"CHELSEA, MI US",1989-12,,3,
USC00201502,"CHELSEA, MI US",1990-01,,1.4,
